Mes,IGAE
2015/07,0.968375
2015/08,0.196828
2015/09,1.015956
2015/10,-0.781221
2015/11,-0.756938
2015/12,0.516730
2016/01,0.578403
2016/02,0.772173
2016/03,-0.456393
2016/04,-0.032997
2016/05,0.165792
2016/06,0.794319
2016/07,0.042042
2016/08,0.040527
2016/09,0.637257
2016/10,0.537106
2016/11,-0.151318
2016/12,0.683336
2017/01,0.176336
2017/02,-0.531252
2017/03,0.473403
2017/04,0.241110
2017/05,-0.529562
2017/06,0.659639
2017/07,-0.694700
2017/08,0.978779
2017/09,-1.106076
2017/10,0.994471
2017/11,0.592449
2017/12,0.776078
2018/01,-0.434932
2018/02,0.394971
2018/03,1.051474
2018/04,-0.868292
2018/05,0.622988
2018/06,-0.462196
2018/07,0.309832
2018/08,0.013417
2018/09,-0.037926
2018/10,-0.106877
2018/11,0.227939
2018/12,-0.843363
2019/01,0.758681
2019/02,0.138120
2019/03,-0.445809
2019/04,-0.018047
2019/05,0.009958
2019/06,-0.009358
2019/07,-0.048645
2019/08,-0.199595
2019/09,0.176855
2019/10,-0.449899
2019/11,0.103599
2019/12,0.073291
2020/01,-0.030200
